Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
"std::vector<lux::simulation::script::detail::ScriptExecution::ContinuationRecord,std::allocator<lux::simulation::script::detail::ScriptExecution::ContinuationRecord> >::operator[]",0.015095,0.015095,0.0,0.0,lux_engine_simulation_script.dll,"std::vector<lux::simulation::script::detail::ScriptExecution::ContinuationRecord,std::allocator<lux::simulation::script::detail::ScriptExecution::ContinuationRecord> >::operator[]",vector,0x1800b11a5
index2stack,0.015091,0.015091,0.0,0.0,lux_lua55.dll,"index2stack(struct lua_State *, int)",lapi.c,0x180001070
lux::simulation::script::PreparedResumeType::{ctor},0.015085,0.015085,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::PreparedResumeType::{ctor},ScriptRuntime.hpp,0x180093f06
lux::simulation::script::ScriptAwaitableFactory::{ctor},0.015081,0.015081,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptAwaitableFactory::{ctor},ScriptRuntime.hpp,0x1800c68a8
lux::simulation::script::ScriptCoroutine::promise_type::return_void,0.015077,0.015077,0.0,0.0,native_lua_complete_tasks.exe,lux::simulation::script::ScriptCoroutine::promise_type::return_void,ScriptCoroutine.hpp,0x14004ee98
lux::simulation::script::detail::ScriptExecution::waitEventErased,0.015075,0.015075,0.0,0.0,lux_engine_simulation_script.dll,"lux::simulation::script::detail::ScriptExecution::waitEventErased(void *,struct lux::simulation::script::ScriptInstanceId,class lux::simulation::script::ScriptEventAdmissionHandle)",ScriptExecution.hpp,0x1800905d0
prepCallInfo,0.015075,0.015075,0.0,0.0,lux_lua55.dll,"prepCallInfo(struct lua_State *, union StackValue *, unsigned int, union StackValue *)",ldo.c,0x18000d5f0
lux::simulation::script::detail::ScriptExecution::AwaitableStorage::acquire,0.015067,0.015067,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::AwaitableStorage::acquire,ScriptExecution.hpp,0x18008cb1c
`lux::simulation::script::detail::ScriptInstances::beginConstruction'::`2'::<lambda_1>::<lambda_invoker_cdecl>,0.015065,0.015065,0.0,0.0,lux_engine_simulation_script.dll,`lux::simulation::script::detail::ScriptInstances::beginConstruction'::`2'::<lambda_1>::<lambda_invoker_cdecl>(const void *),ScriptInstances.cpp,0x180034ec0
lux::simulation::script::detail::ScriptExecution::ExecutionAccess::current,0.015060,0.015060,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::ExecutionAccess::current,ScriptExecution.hpp,0x1800c6800
